cuenta;nombre;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
4-00-00-00;INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-00-00;   INGRESOS OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-00;      INGRESOS POR SERVICIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-01;         INGRESOS POR CERTIFICACION OI;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-03;         INGRESOS POR CERTIFICACION SELLO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-04;         INGRESOS POR CERTIFICACION SISTEMAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-01-05;         INGRESOS POR LABORATORIO;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-00;      INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-01;         INGRESOS VENTAS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-02-10;         AUSPICIOS Y EVENTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-00;      INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-03-01;         INGRESOS POR CAPACITACION;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-00;      INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-01-04-01;         INGRESOS CUOTA ASOCIADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-00-00;   INGRESOS PROYECTOS;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-00;      PROYECTO VARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
4-02-01-10;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-00-00;   INGRESOS NO OPERATIVOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-00;      INGRESOS MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-01;         INTERESES GANADOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-01-02;         COMISIONES GANADAS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-00;      INGRESOS NO MONETARIOS;0;0;0;0;0;0;0;0;0;0;0;0
4-10-02-01;         OTROS INGRESOS;0;0;0;0;0;0;0;0;0;0;0;0
5-00-00-00;EGRESOS;59835.04376;59865.27408;59192.14768;64177.92304;83765.74752;65328.20304;62664.04356;65340.75132;66524.86788;67687.91676;63153.96768;62297.28872
5-01-00-00;   COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-00;      COSTO DE INVENTARIOS;0;0;0;0;0;0;0;0;0;0;0;0
5-01-01-01;         COSTO DE INVENTARIOS ;0;0;0;0;0;0;0;0;0;0;0;0
5-02-01-00;      GASTOS EN PERSONAL;52922.112;52922.112;52922.112;52922.112;67494.4708;56248.7476;56248.7476;56248.7476;56332.1596;56332.1596;56332.1596;56332.1596
